id,subject_user,recommendation_time,clicked_user,click_time
99,3cac40ce4875d335f8d701062327c9ee,"11:43 22 Apr 2018",,
100,3cac40ce4875d335f8d701062327c9ee,"11:43 22 Apr 2018",,
101,3cac40ce4875d335f8d701062327c9ee,"11:44 22 Apr 2018",,
102,d771555176f1d898b23919132cd9e507,"14:41 22 Apr 2018",,
103,d771555176f1d898b23919132cd9e507,"14:42 22 Apr 2018",,
104,d771555176f1d898b23919132cd9e507,"14:43 22 Apr 2018",,
105,d771555176f1d898b23919132cd9e507,"14:44 22 Apr 2018",,
106,d771555176f1d898b23919132cd9e507,"15:26 22 Apr 2018",,
107,f3abe9d7049d18069274d7808aecbfe1,"15:29 22 Apr 2018",,
108,d771555176f1d898b23919132cd9e507,"15:30 22 Apr 2018",,
109,950c8148b4c7703590bbe92d54ca1ef7,"15:55 22 Apr 2018",,
110,83f18c46cbefaeb82b4641fd046a6ef6,"16:36 22 Apr 2018",,
111,3f1546cbd55d4d1f86af99def65d61fc,"16:41 22 Apr 2018",,
112,950c8148b4c7703590bbe92d54ca1ef7,"17:10 22 Apr 2018",,
113,950c8148b4c7703590bbe92d54ca1ef7,"17:11 22 Apr 2018",,
114,49e629c5778949f1c4174b59e7a06ccd,"18:15 22 Apr 2018",,
115,950c8148b4c7703590bbe92d54ca1ef7,"19:19 22 Apr 2018",,
116,950c8148b4c7703590bbe92d54ca1ef7,"19:23 22 Apr 2018",,
117,6c41f41c2cb4e9fcd3be8c971f586600,"21:32 22 Apr 2018",,
118,950c8148b4c7703590bbe92d54ca1ef7,"21:33 22 Apr 2018",,
119,c0b6791c297c8850e2051f32e27c23d4,"21:53 22 Apr 2018",,
120,950c8148b4c7703590bbe92d54ca1ef7,"22:07 22 Apr 2018",,
121,950c8148b4c7703590bbe92d54ca1ef7,"22:22 22 Apr 2018",,
122,950c8148b4c7703590bbe92d54ca1ef7,"22:22 22 Apr 2018",,
123,83f18c46cbefaeb82b4641fd046a6ef6,"23:03 22 Apr 2018",,
124,950c8148b4c7703590bbe92d54ca1ef7,"23:25 22 Apr 2018",,
125,c93e813219edfa8bb1203b67ae49e2c1,"23:28 22 Apr 2018",,
126,ea3786a4d21fabdeff2d13f4e231318e,"7:39 23 Apr 2018",,
128,1e2f3a0e49135a95994ae36d198ff355,"8:32 23 Apr 2018",,
129,1e2f3a0e49135a95994ae36d198ff355,"8:32 23 Apr 2018",,
130,7c2f172da5f0a01b5c96841a1b049a2f,"9:33 23 Apr 2018",,
131,7c2f172da5f0a01b5c96841a1b049a2f,"9:36 23 Apr 2018",,
132,7c2f172da5f0a01b5c96841a1b049a2f,"9:37 23 Apr 2018",,
133,950c8148b4c7703590bbe92d54ca1ef7,"10:16 23 Apr 2018",,
134,950c8148b4c7703590bbe92d54ca1ef7,"10:17 23 Apr 2018",,
136,eb63c788c5b567df0e01ccba64cd20dd,"11:29 23 Apr 2018",,
138,4e97eaf3a9d7544a69e9b3b1af764ee1,"12:01 23 Apr 2018",,
139,4e97eaf3a9d7544a69e9b3b1af764ee1,"12:04 23 Apr 2018",,
140,f7eb43b77f5019ef246157e53c2ce57b,"12:16 23 Apr 2018",,
141,d7f57e694ee85244a1dc829a89bac64a,"12:35 23 Apr 2018",,
142,e7f5af03ad520c40baa7a9e616ba363a,"12:37 23 Apr 2018",,
143,e7f5af03ad520c40baa7a9e616ba363a,"12:39 23 Apr 2018",,
144,e7f5af03ad520c40baa7a9e616ba363a,"12:40 23 Apr 2018",,
145,c5d930717d8b040abab1b244f7118228,"12:47 23 Apr 2018",,
146,90559fa39feac8db1cba1c04abccad93,"12:58 23 Apr 2018",,
